"fips"	"soy_yield11_ha"	"round_soy_yield11"
"IA001"	"0.00000000000000000000"	"2.52"
"IA001"	"0.00000000000000000000"	"3.17"
"IA001"	"0.00404694455685957102"	"3.09"
"IA001"	"0.00809388911371914205"	"3.41"
"IA001"	"0.01618777822743828410"	"2.72"
"IA001"	"0.01618777822743828410"	"2.74"
"IA001"	"0.02428166734115742614"	"3.69"
"IA001"	"0.03237555645487656819"	"3.91"
"IA001"	"0.06070416835289356536"	"2.75"
"IA001"	"0.12545528126264670174"	"3.07"
"IA001"	"0.21853500607041683528"	"2.50"
"IA001"	"0.22662889518413597734"	"3.98"
"IA001"	"0.36827195467422096317"	"3.67"
"IA001"	"0.40064751112909753136"	"2.56"
"IA001"	"0.42492917847025495751"	"2.41"
"IA001"	"0.59490084985835694050"	"3.56"
"IA001"	"1.23431808984216916228"	"3.13"
"IA001"	"37.68514771347632535301"	"2.60"
"IA001"	"54.33023067583974113456"	"1.86"
"IA001"	"56.64912990692027543529"	"4.06"
"IA001"	"58.30837717523269915671"	"3.08"
"IA001"	"70.39660056657223797758"	"2.47"
"IA001"	"88.90327802509105598851"	"3.31"
"IA001"	"103.62606232294617559212"	"2.71"
"IA001"	"145.11533791987049769001"	"2.33"
"IA001"	"249.39700526102792399513"	"2.91"
"IA001"	"310.81748280048563312663"	"2.77"
"IA001"	"432.42007284500202395638"	"3.15"
"IA001"	"445.38243626062322944958"	"3.89"
"IA001"	"464.54471873735329838895"	"2.54"
"IA001"	"477.05382436260623162581"	"4.19"
"IA001"	"506.21610683933630135311"	"3.52"
"IA001"	"523.10805341966815015139"	"1.89"
"IA001"	"562.71549979765277181145"	"2.23"
"IA001"	"574.76325374342371475720"	"2.94"
"IA001"	"647.98866855524079320223"	"2.03"
"IA001"	"880.55038445973290123713"	"3.28"
"IA001"	"890.64751112909753164709"	"3.38"
"IA001"	"900.13759611493322542782"	"2.64"
"IA001"	"1138.64832051800890399068"	"2.27"
"IA001"	"1388.99635774989882661187"	"2.84"
"IA001"	"1449.47794415216511528763"	"3.45"
"IA001"	"1504.13193039255362132922"	"3.99"
"IA001"	"2512.74787535410765065486"	"2.16"
"IA001"	"2664.15621205989477968629"	"3.82"
"IA001"	"3193.29016592472683210135"	"3.75"
"IA001"	"3695.26507486847430222014"	"3.01"
"IA001"	"4005.22460542290570610412"	"3.59"
"IA001"	"4711.44071226224200839913"	"3.62"
"IA001"	"11297.13881019830028180014"	"3.96"
"IA001"	"49817.55969243221367625462"	""
"IA003"	"0.00000000000000000000"	"2.18"
"IA003"	"0.00000000000000000000"	"2.88"
"IA003"	"0.00000000000000000000"	"3.52"
"IA003"	"0.00404694455685957102"	"1.79"
"IA003"	"0.00404694455685957102"	"1.91"
"IA003"	"0.00809388911371914205"	"2.77"
"IA003"	"0.00809388911371914205"	"3.62"
"IA003"	"0.01214083367057871307"	"3.98"
"IA003"	"0.02428166734115742614"	"2.32"
"IA003"	"0.03642250101173613922"	"2.92"
"IA003"	"0.04046944556859571023"	"3.19"
"IA003"	"0.04046944556859571024"	"2.49"
"IA003"	"0.04451639012545528126"	"2.43"
"IA003"	"0.04451639012545528126"	"2.50"
"IA003"	"0.04451639012545528127"	"2.99"
"IA003"	"0.06070416835289356536"	"3.31"
"IA003"	"0.06070416835289356536"	"3.74"
"IA003"	"0.06475111290975313638"	"3.49"
"IA003"	"0.08498583569405099150"	"3.30"
"IA003"	"0.08498583569405099150"	"3.67"
"IA003"	"0.08498583569405099151"	"3.14"
"IA003"	"0.10926750303520841764"	"2.75"
"IA003"	"0.15783083771752326993"	"2.62"
"IA003"	"0.17401861594496155403"	"3.89"
"IA003"	"0.40064751112909753136"	"3.18"
"IA003"	"0.68393363010926750304"	"3.55"
"IA003"	"0.68798057466612707406"	"3.96"
"IA003"	"2.72764063132335084945"	"3.24"
"IA003"	"20.43302306758397406248"	"3.28"
"IA003"	"24.14002428166734098292"	"1.70"
"IA003"	"60.93889113719142041376"	"3.00"
"IA003"	"66.55605018211250519548"	"3.63"
"IA003"	"68.94779441521651150680"	"2.33"
"IA003"	"111.61068393363010920392"	"3.09"
"IA003"	"137.98866855524079321044"	"1.99"
"IA003"	"183.52893565358154588993"	"2.11"
"IA003"	"200.90651558073654416257"	"2.59"
"IA003"	"217.74180493727235924468"	"2.27"
"IA003"	"298.19910967219749117107"	"3.75"
"IA003"	"308.82233913395386507825"	"2.74"
"IA003"	"387.05382436260623183760"	"4.38"
"IA003"	"409.76932416025900418408"	"2.81"
"IA003"	"554.61351679481991123183"	"3.97"
"IA003"	"787.87535410764872574866"	"2.05"
"IA003"	"822.41602590044516356572"	"4.04"
"IA003"	"845.05868069607446422942"	"2.52"
"IA003"	"1124.88870902468636215965"	"2.93"
"IA003"	"1316.05827600161877787970"	"3.41"
"IA003"	"1342.13678672602185420010"	"4.16"
"IA003"	"1401.18170781060299474484"	"3.56"
"IA003"	"1720.58680696074463840081"	"3.50"
"IA003"	"1797.97652772157021448005"	"3.91"
"IA003"	"2367.65277215702144955460"	"2.68"
"IA003"	"3816.80696074463779753755"	"3.15"
"IA003"	"4074.50424929178470180662"	"4.10"
"IA003"	"5689.00040469445568629234"	"3.69"
"IA003"	"32061.35977337110481864070"	""
"IA005"	"0.02023472278429785512"	"3.53"
"IA005"	"0.03237555645487656819"	"1.89"
"IA005"	"0.08903278025091056253"	"4.06"
"IA005"	"0.45325779036827195468"	"3.08"
"IA005"	"0.60704168352893565358"	"1.96"
"IA005"	"1.16147308781869688385"	"2.03"
"IA005"	"1.52569809793605827600"	"3.85"
"IA005"	"2.32699312019425333875"	"1.86"
"IA005"	"2.42816673411574259607"	"4.38"
"IA005"	"3.43180898421691622825"	"2.91"
"IA005"	"3.74747065965196277033"	"4.13"
"IA005"	"4.94536624848239578316"	"2.45"
"IA005"	"6.52367462565762853307"	"3.15"
"IA005"	"10.45325779036827196802"	"2.38"
"IA005"	"13.29825981384055035849"	"4.10"
"IA005"	"13.32658842573856741113"	"2.63"
"IA005"	"17.86726021853500605270"	"2.21"
"IA005"	"19.43342776203966010144"	"2.31"
"IA005"	"22.51315256980979350001"	"2.66"
"IA005"	"26.41036017806556059461"	"3.43"
"IA005"	"34.84014569000404690461"	"1.72"
"IA005"	"40.25091056252529334881"	"3.99"
