"round_corn_yield12"	"corn_yield12_ha"
"0.59"	"0.02428166734115742614"
"0.69"	"0.03237555645487656819"
"0.76"	"85.01011736139214884456"
"0.99"	"12.87333063537029543948"
"1.02"	"16.27681100768919470410"
"1.08"	"0.08903278025091056253"
"1.10"	"35.30149736948603808468"
"1.11"	"5.77903682719546742307"
"1.13"	"9.75718332658842573699"
"1.14"	"9.44556859571023875922"
"1.16"	"0.00000000000000000000"
"1.18"	"0.77296641036017806558"
"1.23"	"35.41885876163496565936"
"1.24"	"4.49615540267098338555"
"1.25"	"91.68757588021044114404"
"1.28"	"0.00404694455685957102"
"1.31"	"74.10360178065560498546"
"1.32"	"1.46904087414002428166"
"1.34"	"23.92958316471064343147"
"1.38"	"3.88911371914204775396"
"1.41"	"104.50020234722784289309"
"1.42"	"2.0477539457709429"
"1.48"	"1.01173613921489275597"
"1.52"	"88.47430190206394172803"
"1.53"	"8.18696883852691213896"
"1.54"	"34.69040874140024269041"
"1.59"	"8.15054633751517594836"
"1.61"	"22.07203561311210039539"
"1.70"	"21.20194253338729264133"
"1.76"	"57.09834075273168746635"
"1.78"	"12.82881424524484012719"
"1.82"	"98.00080938891137171121"
"1.84"	"81.76851477134763248008"
"1.87"	"0.24281667341157426143"
"1.90"	"0.00000000000000000000"
"1.93"	"22.95426952650748689509"
"1.96"	"33.59773371104815868346"
"1.97"	"2.27033589639821932743"
"1.98"	"8.53095912585997571262"
"2.01"	"33.59368676649129903687"
"2.04"	"21.57426143261837305553"
"2.07"	"57.39781464993929575930"
"2.08"	"18.48644273573452048077"
"2.10"	"2050.16187778227438317401"
"2.11"	"24.83205180089032780010"
"2.12"	"11.90206394172399833872"
"2.13"	"146.70983407527316908777"
"2.16"	"19.28369081343585588078"
"2.17"	"100.05261027923917440738"
"2.20"	"99.28773775799271535505"
"2.21"	"98.67260218535006066753"
"2.23"	"55.05868069607446367889"
"2.24"	"51.01983002832861183590"
"2.25"	"0.03237555645487656819"
"2.26"	"634.46782679077296702854"
"2.27"	"117.03763658437879415169"
"2.29"	"77.11048158640226641031"
"2.30"	"3.27397814649939295833"
"2.31"	"0.24281667341157426143"
"2.32"	"338.48644273573452057543"
"2.33"	"0.15783083771752326993"
"2.35"	"76.87980574666127067794"
"2.37"	"2.93403480372318897317"
"2.38"	"131.47308781869688386916"
"2.40"	"1570.19425333872925916214"
"2.41"	"323.84459732901659267755"
"2.43"	"1.19789558883043302307"
"2.46"	"21.80089032780250911393"
"2.47"	"1688.81019830028328639501"
"2.48"	"161.98704977741804928984"
"2.49"	"119.21489275596924350448"
"2.50"	"107.24807770133549164826"
"2.51"	"114.74706596519627724601"
"2.52"	"78.71711857547551609615"
"2.53"	"70.05665722379603419533"
"2.54"	"13.36705787130716308873"
"2.56"	"31.56212059894779429592"
"2.57"	"474.88061513557264238346"
"2.58"	"277.72157021448806126297"
"2.59"	"3163.09186564144071139385"
"2.60"	"597.44233104006475077762"
"2.61"	"325.64144071226224153773"
"2.62"	"202.24200728450020226136"
"2.63"	"144.58923512747875308894"
"2.64"	"0.27114528530959125860"
"2.65"	"88.14245244840145719216"
"2.66"	"340.38850667745851917682"
"2.68"	"336.85552407932011342452"
"2.69"	"993.30635370295426973808"
"2.70"	"242.22986645082962342420"
"2.71"	"106.81100768919465782742"
"2.73"	"764.71873735329825972636"
"2.74"	"44.75920679886685528646"
"2.75"	"304.26143261837312785150"
"2.76"	"40.52205584783488476908"
"2.77"	"253.52084176446782666369"
"2.79"	"429.48199109672197518329"
"2.80"	"1649.15823553217320904586"
"2.81"	"45.34196681505463394207"
"2.82"	"155.62929987859166302442"
"2.83"	"35.88425738567381618229"
"2.84"	"5.18413597733711051974"
"2.85"	"4229.21893970052610332487"
"2.86"	"76.08255766895993528891"
"2.87"	"574.28166734115742656128"
"2.88"	"282.20153783893160653391"
"2.89"	"23.77984621610683930745"
"2.90"	"64.62970457304734927492"
"2.91"	"166.88385269121813048595"
"2.92"	"868.04532577903682772494"
"2.93"	"19.87859166329421285387"
"2.94"	"410.63941723998381239230"
"2.96"	"3381.03601780655604913776"
"2.97"	"617.64063132335086940107"
"2.98"	"33.69486038041278824769"
"2.99"	"343.56940509915014140287"
"3.00"	"570.37231889923108034308"
"3.01"	"128.46216106839336318271"
"3.02"	"321.97086199919061143694"
"3.03"	"295.80331849453662473740"
"3.04"	"120.69607446377984616338"
"3.05"	"1013.55321732092270341554"
"3.06"	"152.59004451639012547295"
"3.07"	"69.66815054633751521457"
"3.08"	"223.65439093484419288924"
"3.09"	"183.07972480777013358486"
"3.10"	"1220.89437474706596426946"
"3.11"	"71.85754755159854304111"
"3.12"	"439.58721165520032377916"
"3.13"	"397.52731687575880182121"
"3.14"	"38.89113719142047759785"
"3.15"	"86.29299878591663292688"
"3.16"	"722.90570619182517129432"
"3.17"	"208.08174828004856337152"
"3.18"	"1044.08336705787130650874"
"3.19"	"66.47915823553217309326"
"3.20"	"105.02225819506272748005"
"3.21"	"40.16592472683124249549"
"3.22"	"160.59085390530149691497"
"3.23"	"13.75961149332254151746"
"3.24"	"368.87090246863617942129"
"3.25"	"250.88628085795224619346"
"3.26"	"492.95831647106434677390"
"3.27"	"1501.72399838122217643508"
"3.28"	"423.99028733306353651706"
"3.29"	"845.79927154997976506504"
"3.30"	"223.80817482800485642154"
"3.31"	"60.10926750303520846455"
"3.32"	"352.35127478753541128504"
"3.33"	"1092.40388506677458522610"
"3.34"	"358.43787940105220563950"
"3.35"	"6219.70052610279239180578"
"3.36"	"1723.06353702954269532165"
"3.37"	"855.55240793201133167254"
"3.38"	"377.45447187373533013759"
"3.39"	"122.19344394981788734887"
"3.40"	"578.76972885471469035916"
"3.41"	"270.73654390934844162377"
"3.42"	"934.98178874949413223979"
"3.43"	"174.11978955888304393824"
"3.44"	"489.29178470254957449540"
"3.45"	"3766.14730878186968770320"
"3.46"	"2051.65924726831242370086"
"3.47"	"176.97288547146904076680"
"3.48"	"67.87940105220558498787"
"3.49"	"1174.54471873735329784833"
"3.50"	"507.15499797652772235463"
"3.51"	"954.47187373532982582523"
"3.52"	"414.22905706191825181971"
"3.53"	"6910.13759611493322621255"
"3.55"	"488.00080938891137167545"
"3.56"	"1634.16430594900849848718"
"3.57"	"222.58195062727640637835"
"3.58"	"156.81910157830837734927"
"3.59"	"53.36301092675030345521"
"3.60"	"1330.86199919061108777191"
"3.61"	"211.21003642250101167491"
"3.62"	"514.99392958316471033204"
"3.63"	"1104.77134763253743511783"
"3.64"	"1073.51274787535410767342"
"3.65"	"154.25738567381626901377"
"3.66"	"400.11736139214892753044"
"3.67"	"4454.96560097126669360992"
"3.68"	"1234.24119789558883130526"
"3.69"	"1051.46094698502630419493"
"3.70"	"372.27438284095507905900"
"3.71"	"440.40064751112909755033"
"3.72"	"945.23674625657628508358"
"3.73"	"840.17806556050182121134"
"3.74"	"894.11574261432618363317"
"3.75"	"224.69850263051396185177"
"3.76"	"1859.33630109267503000704"
"3.77"	"93.27802509105625262329"
"3.78"	"416.64103601780655637075"
"3.79"	"209.68838526912181324923"
"3.80"	"1005.93686766491299088543"
"3.81"	"1183.65034399028733303316"
"3.82"	"57.30878186968838535443"
"3.83"	"197.47470659651962796855"
"3.84"	"922.80857952246054237462"
"3.85"	"268.49858356940509915410"
"3.86"	"395.56859571023876953507"
"3.87"	"102.60623229461756393809"
"3.88"	"1482.86523674625657682837"
"3.89"	"164.77134763253743405165"
"3.90"	"767.14690408741400251393"
"3.91"	"2264.09550789154188609695"
"3.92"	"81.51355726426547974781"
"3.93"	"664.79967624443545140299"
"3.94"	"467.43828409550789191960"
"3.95"	"583.05949008498583572583"
"3.96"	"122.65479562929987845298"
"3.97"	"479.05706191825171992234"
"3.98"	"731.19384864427357298339"
"3.99"	"36.07041683528935658153"
"4.00"	"1352.70335896398219437444"
"4.01"	"1780.98340752731687562176"
"4.02"	"213.93363010926750314379"
"4.03"	"858.00080938891137268657"
"4.04"	"674.33023067583974023733"
"4.05"	"515.99757183326588424970"
"4.06"	"275.53622015378389331719"
"4.07"	"711.93039255362201568818"
"4.08"	"742.19344394981788709247"
"4.09"	"2499.65196276811007643634"
"4.10"	"88.85876163496560103395"
"4.11"	"1391.55807365439093488583"
"4.12"	"126.58842573856738158797"
"4.13"	"1179.89073249696479188503"
"4.14"	"1188.52286523674625582535"
"4.15"	"1012.85309591258599806590"
"4.16"	"961.83326588425738551194"
"4.17"	"24.64589235127478744996"
"4.18"	"733.12828814245244757500"
"4.19"	"2584.73897207608255955701"
"4.20"	"453.66653176851477089017"
"4.21"	"511.39619587211655178738"
"4.22"	"1035.35410764872521225980"
"4.23"	"131.45285309591258596308"
"4.25"	"84.90489680291380049560"
"4.26"	"3907.95224605422905635763"
"4.27"	"1198.71307163091865679325"
"4.28"	"302.25414811817078036930"
"4.29"	"568.37717523269931273917"
"4.30"	"511.12100364225010153805"
"4.31"	"986.39012545528126206517"
"4.32"	"80.61108862808579512525"
"4.33"	"914.10764872521246412582"
"4.34"	"2962.80857952246054312019"
"4.35"	"750.99150141643059501955"
"4.36"	"1324.09550789154188607872"
