"round_soy_yield13"	"soy_yield13_ha"
"0.35"	"19.91096721974908938644"
"0.40"	"1.26264670174018615945"
"0.41"	"2.75596924322136786726"
"0.42"	"4.84419263456090651560"
"0.43"	"16.99716713881019834635"
"0.44"	"60.23472278429785508309"
"0.45"	"13.67057871307163093118"
"0.46"	"109.30797248077701339032"
"0.47"	"41.83326588425738559422"
"0.48"	"88.11007689194658025325"
"0.49"	"21.06839336301092678141"
"0.50"	"19.45366248482395795284"
"0.51"	"3.68676649129906916904"
"0.58"	"5.91663294212869283788"
"0.63"	"5.35815459328207202853"
"0.73"	"31.77256171590449223736"
"0.74"	"30.08093889113719148479"
"0.77"	"0.16592472683124241198"
"0.78"	"22.71549979765277221238"
"0.79"	"9.21893970052610275006"
"0.81"	"93.22541481181707835928"
"0.82"	"87.09834075273168782015"
"0.86"	"19.56697693241602582961"
"0.87"	"30.36827195467422115542"
"0.89"	"50.77701335491703769432"
"0.91"	"5.20032375556454873047"
"0.92"	"22.30271145285309585894"
"0.93"	"20.56252529340348034467"
"0.94"	"13.20922703358963986668"
"0.95"	"31.08053419668150533344"
"0.96"	"43.78389316066369886921"
"0.97"	"76.98907324969647941361"
"0.98"	"74.37879401052205585953"
"0.99"	"83.16066369890732512496"
"1.00"	"17.68514771347632527609"
"1.01"	"150.05261027923917427271"
"1.02"	"188.04127883447996790542"
"1.03"	"52.65884257385673796625"
"1.05"	"22.36341562120598947064"
"1.07"	"25.26102792391744217216"
"1.08"	"89.33225414811817072223"
"1.09"	"51.48118170781060291872"
"1.10"	"11.45690004046944558514"
"1.11"	"121.29906920275192235236"
"1.13"	"192.03561311210036440399"
"1.14"	"174.58114123836503461683"
"1.15"	"27.10238769728854724612"
"1.16"	"4.78753541076487247706"
"1.17"	"408.45811412383650323154"
"1.18"	"14.49615540267098336803"
"1.19"	"14.92917847025495742169"
"1.20"	"73.17685147713476325294"
"1.21"	"457.68514771347632543428"
"1.22"	"144.28166734115742593019"
"1.23"	"117.95224605422905709269"
"1.24"	"246.45892351274787513534"
"1.25"	"143.22136786726021854376"
"1.26"	"87.63253743423715104422"
"1.27"	"609.70861999190611048426"
"1.28"	"136.98502630513961972352"
"1.29"	"372.80048563334682290081"
"1.30"	"240.16187778227438282123"
"1.31"	"134.54471873735329816439"
"1.32"	"206.62484823957911770378"
"1.33"	"524.30594900849858332172"
"1.34"	"339.25536220153783873571"
"1.35"	"1164.14407122622420071724"
"1.36"	"379.54674220963172889005"
"1.37"	"533.74747065965196254037"
"1.38"	"221.92229866450829628464"
"1.39"	"1097.38972076082557580449"
"1.40"	"927.26831242411978983385"
"1.41"	"405.23269931201942534517"
"1.42"	"567.58397409955483596126"
"1.43"	"95.61715904492108452593"
"1.44"	"281.30311614730878196779"
"1.45"	"593.84055038445973256609"
"1.46"	"636.92836908134358512507"
"1.47"	"158.08174828004856330055"
"1.48"	"1137.80655605018211293469"
"1.49"	"3881.96276811007689195846"
"1.50"	"212.29461756373937665577"
"1.51"	"833.86078510724403115089"
"1.52"	"1890.25495750708215313388"
"1.53"	"1462.83690813435855958149"
"1.54"	"903.74747065965196238450"
"1.55"	"2052.49696479158235587133"
"1.56"	"896.44678267907729644195"
"1.57"	"3070.59085390530149594634"
"1.58"	"3924.58923512747875570147"
"1.59"	"2355.67786321327397859243"
"1.60"	"2129.93929583164710688538"
"1.61"	"2169.12585997571833256218"
"1.62"	"1799.02468636179684307207"
"1.63"	"3448.95184135977337063127"
"1.64"	"892.93403480372318945017"
"1.65"	"175.54836098745447161790"
"1.66"	"5793.69486038041278945841"
"1.67"	"6996.43464184540671677041"
"1.68"	"1681.17766086604613442800"
"1.69"	"1959.85026305139619551367"
"1.70"	"935.85592877377579969483"
"1.71"	"2047.73775799271549911355"
"1.72"	"1547.38972076082557655030"
"1.73"	"2118.54714690408741345358"
"1.74"	"2012.41197895588830482019"
"1.75"	"3047.32092270335896295390"
"1.76"	"3458.57547551598543081986"
"1.77"	"4106.00971266693646210025"
"1.78"	"7405.33791987049777357484"
"1.79"	"2457.36543909348441874761"
"1.80"	"919.34844192634560908744"
"1.81"	"3833.46418454067179248505"
"1.82"	"724.80777013354917026622"
"1.83"	"4018.27600161877782284933"
"1.84"	"2251.70781060299473856186"
"1.85"	"1664.01456900040469544851"
"1.86"	"3672.75192229866450869521"
"1.87"	"1645.88830433023067598662"
"1.88"	"1610.73249696479158188415"
"1.89"	"2565.68595710238769772031"
"1.90"	"3442.54552812626467113860"
"1.91"	"3545.22055847834884501279"
"1.92"	"1524.95750708215297516437"
"1.93"	"3017.73371104815864030952"
"1.94"	"4121.93039255362201649738"
"1.95"	"1412.53743423715095059392"
"1.96"	"2061.33953864832051858664"
"1.97"	"434.02266288951841369760"
"1.98"	"4335.04249291784702521131"
"1.99"	"2961.57426143261837403146"
"2.00"	"3722.90570619182517216663"
"2.01"	"1577.14690408741400299227"
"2.02"	"3706.56009712666936423668"
"2.03"	"5710.65965196276811082346"
"2.04"	"11545.31768514771347695819"
"2.05"	"3679.44556859571023988156"
"2.06"	"5014.00242816673411544252"
"2.07"	"4493.24564953460137605329"
"2.08"	"8683.51274787535410604080"
"2.09"	"4451.50951031970862039884"
"2.10"	"3674.26547956292998632899"
"2.11"	"1669.59935248887090213490"
"2.12"	"7681.37191420477539235042"
"2.13"	"4248.40145690004046945812"
"2.14"	"7969.86240388506677586216"
"2.15"	"4320.29138000809388972218"
"2.16"	"2435.72237960339943355724"
"2.17"	"2799.25536220153783903926"
"2.18"	"9156.09065155807365420191"
"2.19"	"6584.45973290165924889781"
"2.20"	"5859.62768110076891947698"
"2.21"	"4312.15297450424929025200"
"2.22"	"4188.83852691218130318917"
"2.23"	"8377.31282881424524395926"
"2.24"	"3265.26102792391744211201"
"2.25"	"3641.38405503844597292782"
"2.26"	"7298.42978551193848842278"
"2.27"	"11525.70619182517199397536"
"2.28"	"13742.08822339133954017113"
"2.29"	"3132.61432618373128241672"
"2.30"	"9667.27640631323350711064"
"2.31"	"4646.15944961554026877546"
"2.32"	"9038.84257385673816021837"
"2.33"	"11737.44233104006475027582"
"2.34"	"7905.23269931201942604192"
"2.35"	"9116.73411574261432531734"
"2.36"	"4661.82517199514366759961"
"2.37"	"2040.40064751112909730120"
"2.38"	"13341.11695669769324162947"
"2.39"	"2181.97490894374746945387"
"2.40"	"10126.43059490084986026675"
"2.41"	"3534.43140428976123029512"
"2.42"	"16284.15621205989477706234"
"2.43"	"5129.06110886280858006650"
"2.44"	"5632.59004451639012499620"
"2.45"	"11111.64710643464184556163"
"2.46"	"8018.40955078915418949899"
"2.47"	"4957.55564548765681898470"
"2.48"	"18520.80938891137191157329"
"2.49"	"8208.06556050182112237311"
"2.50"	"6212.11250505868069545182"
"2.51"	"8224.77134763253743316374"
"2.52"	"27670.23472278429785801779"
"2.53"	"16714.74301902063941763036"
"2.54"	"15686.85552407932011528939"
"2.55"	"29224.27357345204370936363"
"2.56"	"5265.70619182517199611960"
"2.57"	"15793.08377175232699328635"
"2.58"	"21993.69890732496964612026"
"2.59"	"11624.79562929987859111918"
"2.60"	"24646.71388101983002997683"
"2.61"	"10558.28814245244839938123"
"2.62"	"13857.81464993929583180682"
"2.63"	"16383.93767705382436225444"
"2.64"	"9975.90449210845811163267"
"2.65"	"15584.74301902063941646047"
"2.66"	"26788.19910967219748981526"
"2.67"	"10367.61634965600971185627"
"2.68"	"14925.17199514366653025845"
