"fips"	"soy_yield12_ha"	"round_soy_yield12"
"IA001"	"0.00000000000000000000"	"2.03"
"IA001"	"0.00000000000000000000"	"2.64"
"IA001"	"0.00000000000000000000"	"2.69"
"IA001"	"0.01618777822743828410"	"1.80"
"IA001"	"0.01618777822743828410"	"2.94"
"IA001"	"0.02023472278429785512"	"1.95"
"IA001"	"0.02023472278429785512"	"2.89"
"IA001"	"0.03237555645487656819"	"2.37"
"IA001"	"0.03642250101173613921"	"1.77"
"IA001"	"0.04046944556859571024"	"1.31"
"IA001"	"0.04451639012545528126"	"1.85"
"IA001"	"0.06475111290975313638"	"2.79"
"IA001"	"0.14569000404694455686"	"2.66"
"IA001"	"0.17401861594496155403"	"1.63"
"IA001"	"0.22258195062727640631"	"2.59"
"IA001"	"0.30352084176446782678"	"2.81"
"IA001"	"0.41683528935653581546"	"1.88"
"IA001"	"1.34763253743423715096"	"2.47"
"IA001"	"1.5783083771752327"	"2.42"
"IA001"	"2.54957507082152971024"	"0.42"
"IA001"	"29.14609469850263065289"	"1.97"
"IA001"	"43.16471064346418459450"	"2.36"
"IA001"	"62.53743423715095102764"	"3.12"
"IA001"	"64.56495346013759614501"	"2.54"
"IA001"	"65.88830433023067604829"	"1.40"
"IA001"	"74.09146094698502634411"	"1.90"
"IA001"	"84.49615540267098383402"	"2.08"
"IA001"	"103.41966815054633761155"	"1.79"
"IA001"	"214.28166734115742589012"	"2.21"
"IA001"	"290.18615944961554022852"	"2.13"
"IA001"	"399.01254552812626530274"	"3.19"
"IA001"	"435.66167543504653969186"	"2.41"
"IA001"	"476.69364629704573084395"	"1.92"
"IA001"	"481.35572642654795598939"	"2.96"
"IA001"	"506.56819101578308435108"	"2.67"
"IA001"	"604.13597733711048140654"	"1.69"
"IA001"	"607.83893160663698855651"	"2.26"
"IA001"	"667.47065965196276704591"	"1.45"
"IA001"	"706.66936462970457314765"	"1.56"
"IA001"	"714.09550789154188599188"	"2.02"
"IA001"	"768.74544718737353224170"	"2.60"
"IA001"	"786.74220963172804540186"	"2.49"
"IA001"	"1056.47915823553217378969"	"1.74"
"IA001"	"1448.41359773371104780938"	"2.15"
"IA001"	"1523.78389316066369925778"	"2.65"
"IA001"	"1669.32416025900445119917"	"3.06"
"IA001"	"2540.06070416835289459937"	"1.64"
"IA001"	"2752.51315256980979400942"	"2.91"
"IA001"	"3619.63982193443949822984"	"2.88"
"IA001"	"3670.98340752731687469131"	"2.31"
"IA001"	"4378.20315661675434836370"	"2.73"
"IA001"	"4865.21246458923512821707"	"2.78"
"IA001"	"11551.80898421691622629078"	"3.01"
"IA001"	"48592.37150951031971116829"	""
"IA003"	"0.00000000000000000000"	"1.69"
"IA003"	"0.01214083367057871307"	"3.02"
"IA003"	"0.01214083367057871307"	"3.07"
"IA003"	"0.02428166734115742614"	"2.78"
"IA003"	"0.02428166734115742614"	"3.31"
"IA003"	"0.02832861189801699717"	"2.54"
"IA003"	"0.04046944556859571024"	"1.93"
"IA003"	"0.04046944556859571024"	"2.32"
"IA003"	"0.04046944556859571024"	"2.86"
"IA003"	"0.04451639012545528126"	"2.07"
"IA003"	"0.04856333468231485229"	"3.26"
"IA003"	"0.06475111290975313638"	"2.05"
"IA003"	"0.06475111290975313638"	"2.95"
"IA003"	"0.06475111290975313638"	"2.97"
"IA003"	"0.07284500202347227844"	"3.01"
"IA003"	"0.09307972480777013355"	"2.04"
"IA003"	"0.09307972480777013355"	"2.36"
"IA003"	"0.09712666936462970457"	"2.40"
"IA003"	"0.10926750303520841764"	"1.89"
"IA003"	"0.10926750303520841764"	"1.98"
"IA003"	"0.17401861594496155403"	"1.58"
"IA003"	"0.18615944961554026709"	"2.65"
"IA003"	"0.21448806151355726426"	"2.88"
"IA003"	"0.48158640226628895185"	"2.56"
"IA003"	"11.38810198300283290300"	"1.49"
"IA003"	"13.44799676244435450509"	"2.83"
"IA003"	"64.40307567786321320659"	"3.11"
"IA003"	"84.53662484823957920231"	"2.59"
"IA003"	"89.99595305544314060668"	"2.01"
"IA003"	"93.91744233104006465223"	"2.64"
"IA003"	"182.35532173209227022552"	"1.82"
"IA003"	"182.54957507082153021051"	"1.71"
"IA003"	"186.24038850667745853278"	"1.95"
"IA003"	"188.51477134763253756293"	"2.23"
"IA003"	"231.95467422096317288925"	"3.25"
"IA003"	"270.56252529340348039895"	"2.37"
"IA003"	"377.68514771347632526126"	"2.42"
"IA003"	"381.88587616349656027050"	"3.77"
"IA003"	"554.80777013354917042496"	"3.41"
"IA003"	"697.45851881829219011550"	"2.17"
"IA003"	"763.43585592877377634119"	"1.76"
"IA003"	"764.65398624038850692844"	"3.47"
"IA003"	"938.39740995548360999924"	"2.72"
"IA003"	"1213.92553622015378406706"	"3.05"
"IA003"	"1260.21448806151355734647"	"2.53"
"IA003"	"1346.98502630513961914754"	"3.60"
"IA003"	"1402.33508700930797185191"	"2.94"
"IA003"	"1821.27074059085390495040"	"3.36"
"IA003"	"1970.58680696074463773219"	"3.00"
"IA003"	"2307.65277215702144900866"	"2.31"
"IA003"	"2540.12140833670578654813"	"2.75"
"IA003"	"4173.72318899231080711574"	"3.52"
"IA003"	"5425.13557264265479599950"	"3.19"
"IA003"	"32682.16511533791987195037"	""
"IA005"	"0.00000000000000000000"	"3.47"
"IA005"	"0.03237555645487656819"	"3.12"
"IA005"	"0.07284500202347227842"	"4.38"
"IA005"	"0.07284500202347227843"	"3.55"
"IA005"	"0.11331444759206798867"	"3.08"
"IA005"	"0.37231889923108053420"	"4.12"
"IA005"	"0.39255362201537838933"	"3.72"
"IA005"	"0.56252529340348037233"	"3.77"
"IA005"	"0.58276001618777822744"	"2.72"
"IA005"	"0.58680696074463779847"	"3.97"
"IA005"	"1.14123836503439902873"	"3.09"
"IA005"	"1.57426143261837312828"	"3.53"
"IA005"	"1.67543504653986240388"	"1.90"
"IA005"	"1.73613921489275596923"	"3.41"
"IA005"	"3.55321732092270332849"	"2.04"
"IA005"	"4.52853095912585997730"	"3.16"
"IA005"	"5.33791987049777421473"	"1.86"
"IA005"	"5.47146904087414002429"	"2.91"
"IA005"	"6.44273573452043706536"	"3.02"
"IA005"	"6.79077296641036022090"	"2.42"
"IA005"	"9.32011331444759208980"	"2.63"
"IA005"	"16.82314852286523674623"	"2.32"
"IA005"	"18.88709024686361793832"	"2.39"
"IA005"	"19.57102387697288543536"	"2.21"
"IA005"	"22.49291784702549574857"	"2.67"
