"fips"	"soy_yield14_ha"	"round_soy_yield14"
"IA001"	"0.00000000000000000000"	"3.35"
"IA001"	"0.00000000000000000000"	"3.44"
"IA001"	"0.00404694455685957102"	"2.83"
"IA001"	"0.01618777822743828410"	"2.63"
"IA001"	"0.01618777822743828410"	"3.49"
"IA001"	"0.01618777822743828410"	"3.70"
"IA001"	"0.02023472278429785512"	"2.50"
"IA001"	"0.03237555645487656819"	"3.48"
"IA001"	"0.03237555645487656819"	"3.73"
"IA001"	"0.03642250101173613921"	"2.60"
"IA001"	"0.04046944556859571024"	"1.67"
"IA001"	"0.04451639012545528126"	"2.37"
"IA001"	"0.06475111290975313638"	"4.10"
"IA001"	"0.10522055847834884662"	"2.74"
"IA001"	"0.12140833670578713071"	"2.52"
"IA001"	"0.14569000404694455686"	"3.41"
"IA001"	"0.17401861594496155403"	"2.08"
"IA001"	"0.18615944961554026709"	"3.25"
"IA001"	"0.20639417239983812221"	"3.31"
"IA001"	"0.24281667341157426143"	"2.59"
"IA001"	"0.27519222986645082962"	"2.66"
"IA001"	"0.30352084176446782678"	"3.60"
"IA001"	"0.41683528935653581546"	"2.43"
"IA001"	"1.34763253743423715096"	"3.15"
"IA001"	"2.54957507082152971024"	"0.54"
"IA001"	"33.26993120194253355393"	"2.58"
"IA001"	"40.73249696479158236297"	"3.09"
"IA001"	"44.48401456900040477638"	"1.83"
"IA001"	"58.19506272764063135596"	"4.08"
"IA001"	"72.10441116956697695388"	"2.48"
"IA001"	"81.86968838526912175352"	"3.33"
"IA001"	"83.95791177660866088786"	"2.72"
"IA001"	"108.63617968433832458053"	"2.34"
"IA001"	"231.98704977741804912882"	"2.89"
"IA001"	"353.35896398219344375413"	"2.78"
"IA001"	"414.07122622420072870412"	"4.18"
"IA001"	"431.04411169566976896153"	"3.16"
"IA001"	"470.85390530149737021447"	"2.51"
"IA001"	"473.46823148522865193538"	"3.87"
"IA001"	"491.52974504249291809169"	"3.50"
"IA001"	"585.94900849858356899898"	"2.21"
"IA001"	"615.34601375961149289075"	"2.95"
"IA001"	"646.54795629299878511169"	"1.90"
"IA001"	"681.33144475920679901655"	"2.04"
"IA001"	"744.98178874949413189281"	"2.65"
"IA001"	"769.30392553622015400202"	"3.26"
"IA001"	"797.85107244030756714421"	"3.40"
"IA001"	"1020.70416835289356569281"	"2.28"
"IA001"	"1468.95588830433023032440"	"2.85"
"IA001"	"1549.62768110076891957889"	"3.46"
"IA001"	"1669.08539053014973646424"	"4.01"
"IA001"	"2585.38648320518009032418"	"2.17"
"IA001"	"2656.64508296236341599780"	"3.84"
"IA001"	"3570.45730473492513151135"	"3.77"
"IA001"	"3632.80453257790368157967"	"3.02"
"IA001"	"4240.22662889518413406696"	"3.57"
"IA001"	"4843.76365843787940206868"	"3.63"
"IA001"	"11642.73573452043706847454"	"3.94"
"IA001"	"48744.92513152569810089826"	""
"IA003"	"0.01214083367057871307"	"3.93"
"IA003"	"0.01214083367057871307"	"4.10"
"IA003"	"0.02428166734115742614"	"4.30"
"IA003"	"0.02832861189801699717"	"3.31"
"IA003"	"0.04046944556859571024"	"2.51"
