"round_soy_yield14"	"soy_yield14_ha"
"0.09"	"0.00000000000000000000"
"0.47"	"2.95022258195062725443"
"0.48"	"44.49210845811412392144"
"0.50"	"24.52448401456900040620"
"0.51"	"59.22703358963982198171"
"0.52"	"43.78794010522055839101"
"0.53"	"20.12140833670578710440"
"0.54"	"2.54957507082152971024"
"0.55"	"0.59490084985835694051"
"0.56"	"45.20032375556454888732"
"0.57"	"4.74301902063941722676"
"0.59"	"12.36341562120598944804"
"0.60"	"15.11129097531363820496"
"0.62"	"5.57264265479562924618"
"0.65"	"0.04046944556859571024"
"0.67"	"40.97936058276001620751"
"0.85"	"0.66774585188182921894"
"0.91"	"141.01578308377175239097"
"0.93"	"4.33023067583974101566"
"0.95"	"46.61270740590853895192"
"0.97"	"2.9218939700526103"
"0.99"	"29.97571833265884267504"
"1.00"	"23.46013759611493326090"
"1.01"	"11.66734115742614326761"
"1.03"	"60.40874140024281669096"
"1.04"	"52.98664508296236351978"
"1.07"	"31.50951031970861988767"
"1.08"	"25.41076487252124644432"
"1.09"	"48.51477134763253762192"
"1.10"	"19.20275192229866449879"
"1.11"	"126.81505463375151758926"
"1.13"	"71.98704977741804924960"
"1.14"	"12.88547146904087419984"
"1.16"	"85.32173209227033571740"
"1.17"	"81.61473087818696875063"
"1.18"	"17.30068798057466620683"
"1.20"	"108.64832051800890347071"
"1.21"	"10.19020639417239979163"
"1.22"	"55.58478348846620807390"
"1.23"	"280.66774585188182883281"
"1.24"	"402.36746256576284893672"
"1.25"	"19.76932416025900445675"
"1.26"	"245.24888709024686334406"
"1.27"	"216.22420072845002035220"
"1.28"	"56.71792796438688785151"
"1.29"	"128.97207608255766873234"
"1.31"	"49.44961554026709830096"
"1.32"	"650.64751112909753189062"
"1.33"	"42.62646701740186165955"
"1.34"	"192.35936867664912984382"
"1.35"	"64.35046539862403863864"
"1.36"	"14.11574261432618376775"
"1.38"	"46.71792796438688798665"
"1.39"	"0.01214083367057871307"
"1.40"	"564.13193039255362205783"
"1.41"	"80.66369890732496967190"
"1.42"	"0.44111695669769324160"
"1.43"	"40.03237555645487662579"
"1.44"	"0.04451639012545528126"
"1.45"	"96.56009712666936453466"
"1.46"	"267.27235936867664961108"
"1.47"	"35.66572237960339943388"
"1.48"	"0.29947389720760825576"
"1.49"	"259.67219749089437496836"
"1.50"	"445.73047349251315279324"
"1.51"	"16.45487656819101570601"
"1.52"	"67.49494131930392576671"
"1.53"	"117.07001214083367036329"
"1.55"	"188.82638607851072452770"
"1.56"	"61.48118170781060304322"
"1.57"	"161.08458114123836511444"
"1.58"	"288.06960744637798452955"
"1.59"	"17.89963577498988267086"
"1.60"	"64.16430594900849868463"
"1.62"	"427.96033994334277612841"
"1.64"	"164.38284095507891536568"
"1.65"	"134.98583569405099136528"
"1.66"	"41.05625252934034803497"
"1.67"	"119.74908943747470673520"
"1.68"	"235.31768514771347651382"
"1.69"	"349.63172804532577925100"
"1.70"	"951.55402670983407580424"
"1.71"	"180.04451639012545525603"
"1.72"	"119.27154997976527734287"
"1.74"	"768.36098745447187354606"
"1.75"	"564.53257790368272002856"
"1.76"	"989.47389720760825597915"
"1.77"	"1488.64022662889518365397"
"1.78"	"372.26224200728450054162"
"1.79"	"540.79724807770133529092"
"1.80"	"1129.40914609469850310150"
"1.81"	"258.76163496560097147286"
"1.82"	"438.92755969243221347577"
"1.83"	"2534.91299069202751923822"
"1.84"	"283.51679481991096707530"
"1.85"	"666.97693241602589994673"
"1.86"	"4108.95588830433023212048"
"1.87"	"657.22379603399433451661"
"1.88"	"1004.41116956697693271355"
"1.89"	"240.26709834075273176693"
"1.90"	"2701.05625252934034730580"
"1.91"	"2327.18332658842573864345"
"1.92"	"2882.01537838931606677639"
"1.93"	"2779.09348441926345561949"
"1.94"	"1511.38405503844597316602"
"1.95"	"751.84135977337110494421"
"1.96"	"2290.02428166734115741555"
"1.97"	"1483.73532982598138377173"
"1.98"	"1311.00768919465803197784"
"1.99"	"3417.29259409146094571336"
"2.00"	"373.64629704573047350659"
"2.01"	"2209.19465803318494624057"
"2.02"	"2690.61108862808579616140"
"2.03"	"521.28692836908134387466"
"2.04"	"7035.13961958721165343227"
"2.05"	"1039.80574666127074094264"
"2.06"	"541.00768919465803330256"
"2.07"	"711.68352893565358160008"
"2.08"	"2499.02873330635370331681"
"2.09"	"1450.53014973694860364336"
"2.10"	"3260.67583974099554903639"
"2.11"	"1963.84055038445973377922"
"2.12"	"1818.55524079320113376393"
"2.13"	"2214.33427762039660094433"
"2.14"	"2112.77620396600566577375"
"2.15"	"3787.08619991906110851748"
"2.16"	"3212.59004451639012524393"
"2.17"	"3740.37231889923108211123"
"2.18"	"3171.50951031970861988505"
"2.19"	"1602.39174423310400643195"
"2.20"	"461.34358559287737752725"
"2.21"	"2769.26750303520841742814"
"2.22"	"1533.15661675435046537638"
"2.23"	"3641.20598947794415129994"
"2.24"	"2613.53702954269526421972"
"2.25"	"2008.01295022258194976498"
"2.26"	"1028.62808579522460593361"
"2.27"	"2925.95305544314042776726"
"2.28"	"2897.53136382031566164325"
"2.29"	"2410.76082557668959934946"
"2.30"	"3304.58518818292189384097"
"2.31"	"1453.23755564548765683409"
"2.32"	"3155.07082152974504151219"
"2.33"	"1571.82517199514366576080"
"2.34"	"6177.90772966410360008672"
"2.35"	"11259.62363415621205938299"
"2.36"	"3137.35734520437070067632"
"2.37"	"1366.57223796033994274888"
"2.38"	"3835.52003237555645517158"
"2.39"	"4567.93201133144475961072"
"2.40"	"3804.83205180089032845145"
"2.41"	"6560.23876972885471328803"
"2.42"	"3857.77418049372723571869"
"2.43"	"2232.04370700121408286748"
"2.44"	"6514.73897207608255774693"
"2.45"	"3211.76042088223391271617"
"2.46"	"4800.78106029947389820431"
"2.47"	"1542.03966005665722272757"
"2.48"	"4251.21408336705787197226"
"2.49"	"2495.16390125455281105896"
"2.50"	"3630.19020639417239938872"
"2.51"	"3833.28207203561311205386"
"2.52"	"3938.76972885471469119423"
"2.53"	"1693.82840955078915458373"
"2.54"	"856.72197490894374762878"
"2.55"	"5522.73978146499392920460"
"2.56"	"4916.05018211250505930558"
"2.57"	"6695.38648320518008798556"
"2.58"	"5852.38769728854714655541"
"2.59"	"3296.96883852691218168673"
"2.60"	"8142.21367867260218439133"
"2.61"	"5821.80493727235936961677"
"2.62"	"7026.41845406717927733476"
"2.63"	"4546.32132739781465041082"
"2.64"	"9167.80655605018211089703"
"2.65"	"6130.21044111695669723323"
"2.66"	"17476.45487656819101449575"
"2.67"	"2246.11898016997167050652"
"2.68"	"8929.77741804937272225859"
"2.69"	"5469.65196276811007661854"
"2.70"	"10133.10400647511129127616"
"2.71"	"10434.05503844597328992462"
"2.72"	"9188.47430190206394290169"
"2.73"	"4151.24645892351274782945"
"2.74"	"2836.73411574261432623877"
"2.75"	"8357.64872521246459062069"
"2.76"	"5126.92027519222986657333"
"2.77"	"5735.95710238769728823365"
"2.78"	"11855.87211655200323741166"
"2.79"	"5498.74949413193039219768"
"2.80"	"1241.31121003642250087776"
"2.81"	"8203.40348037231889784801"
"2.82"	"4231.43261837312828748932"
"2.83"	"5100.97936058276001497272"
"2.84"	"6584.24929178470254937307"
"2.85"	"13773.46013759611493254780"
"2.86"	"6038.82638607851072183922"
"2.87"	"1452.92594091460947046163"
"2.88"	"14402.47673006879805710944"
"2.89"	"8256.89194658033185032966"
"2.90"	"10964.85633346823148443528"
"2.91"	"13062.14488061513557245199"
"2.92"	"7323.54512343180898629506"
"2.93"	"20077.99676244435451300115"
"2.94"	"10131.52974504249291884074"
"2.95"	"13572.54552812626466937816"
"2.96"	"9726.70174018615944901404"
"2.97"	"12073.48846620801295003166"
"2.98"	"7601.16956697693241542439"
"2.99"	"10880.19830028328612110127"
"3.00"	"4458.62808579522460553446"
"3.01"	"9032.44840145690004041455"
"3.02"	"9250.73654390934844115082"
"3.03"	"6160.58680696074463768086"
"3.04"	"10146.63294212869283911372"
"3.05"	"18217.06596519627681028437"
"3.06"	"7749.25536220153783603894"
"3.07"	"23111.93848644273573518861"
"3.08"	"13344.28571428571428590135"
"3.09"	"19347.07405908539052896424"
"3.10"	"7102.33913395386483287339"
"3.11"	"5178.46216106839336309240"
"3.12"	"7997.68514771347632483402"
"3.13"	"20323.47632537434237093966"
"3.14"	"19724.73492513152569739413"
"3.15"	"25004.96560097126669277666"
"3.16"	"7906.08660461351679557146"
"3.17"	"29283.29016592472682950150"
"3.18"	"18891.84540671792796346208"
"3.19"	"26414.01861594496155383395"
"3.20"	"9311.62687171185754843246"
"3.21"	"13654.83205180089032691481"
