"fips"	"soy_yield13_ha"	"round_soy_yield13"
"IA001"	"0.00000000000000000000"	"2.11"
"IA001"	"0.00000000000000000000"	"2.34"
"IA001"	"0.00000000000000000000"	"2.71"
"IA001"	"0.00404694455685957102"	"3.29"
"IA001"	"0.00809388911371914205"	"3.17"
"IA001"	"0.01618777822743828410"	"2.29"
"IA001"	"0.01618777822743828410"	"2.55"
"IA001"	"0.02428166734115742614"	"3.41"
"IA001"	"0.04451639012545528126"	"3.34"
"IA001"	"0.05665722379603399433"	"2.26"
"IA001"	"0.06070416835289356536"	"2.35"
"IA001"	"0.06070416835289356536"	"2.50"
"IA001"	"0.09712666936462970458"	"2.86"
"IA001"	"0.20234722784297855119"	"2.10"
"IA001"	"0.23876972885471469041"	"2.76"
"IA001"	"0.25900445163901254553"	"3.40"
"IA001"	"0.27114528530959125860"	"3.00"
"IA001"	"0.29138000809388911372"	"2.02"
"IA001"	"0.40064751112909753136"	"2.16"
"IA001"	"0.59894779441521651153"	"3.13"
"IA001"	"1.57830837717523270000"	"2.58"
"IA001"	"2.59004451639012545529"	"2.63"
"IA001"	"38.97612302711452854953"	"1.88"
"IA001"	"50.72845002023472263389"	"2.25"
"IA001"	"57.16713881019830039033"	"1.36"
"IA001"	"57.74180493727235963011"	"2.97"
"IA001"	"67.50708215297450432731"	"1.81"
"IA001"	"86.88385269121813001693"	"2.43"
"IA001"	"91.66329421286928368560"	"1.98"
"IA001"	"126.90408741400242812395"	"1.71"
"IA001"	"247.60016187778227442873"	"2.13"
"IA001"	"315.20841764467826780035"	"2.03"
"IA001"	"409.92715499797652816416"	"2.30"
"IA001"	"452.65479562929987875082"	"2.85"
"IA001"	"455.13961958721165543849"	"1.86"
"IA001"	"470.98340752731687541193"	"3.07"
"IA001"	"494.71873735329825985414"	"2.57"
"IA001"	"514.56495346013759564985"	"1.39"
"IA001"	"537.46256576284904874630"	"2.15"
"IA001"	"570.27519222986645039765"	"1.61"
"IA001"	"619.55078915418858749430"	"1.48"
"IA001"	"821.68757588021044117564"	"2.47"
"IA001"	"877.26426547956292999605"	"1.93"
"IA001"	"900.51396195872116509202"	"2.38"
"IA001"	"1087.38567381626871799859"	"1.66"
"IA001"	"1310.96317280453257765836"	"2.08"
"IA001"	"1373.92553622015378399049"	"2.52"
"IA001"	"1514.77539457709429288558"	"2.92"
"IA001"	"2411.69162282476730302408"	"1.58"
"IA001"	"2596.99312019425333946292"	"2.80"
"IA001"	"3161.73209227033589709716"	"2.75"
"IA001"	"3581.40833670578713074454"	"2.20"
"IA001"	"3834.98988263860785126761"	"2.62"
"IA001"	"4617.76203966005665886118"	"2.65"
"IA001"	"10899.55078915418858725803"	"2.87"
"IA001"	"51199.46985026305139162533"	""
"IA003"	"0.00000000000000000000"	"2.98"
"IA003"	"0.00000000000000000000"	"3.04"
"IA003"	"0.00000000000000000000"	"3.12"
"IA003"	"0.00000000000000000000"	"3.40"
"IA003"	"0.00404694455685957102"	"1.73"
"IA003"	"0.00404694455685957102"	"1.91"
"IA003"	"0.00809388911371914205"	"2.03"
"IA003"	"0.00809388911371914205"	"2.65"
"IA003"	"0.02428166734115742614"	"2.32"
"IA003"	"0.02428166734115742614"	"3.09"
"IA003"	"0.02832861189801699717"	"2.10"
"IA003"	"0.04046944556859571023"	"3.08"
"IA003"	"0.04046944556859571024"	"2.81"
"IA003"	"0.04451639012545528126"	"2.08"
"IA003"	"0.05665722379603399434"	"2.12"
"IA003"	"0.06070416835289356536"	"2.50"
"IA003"	"0.06475111290975313638"	"3.49"
"IA003"	"0.06879805746661270741"	"2.83"
"IA003"	"0.08093889113719142047"	"2.35"
"IA003"	"0.08498583569405099151"	"2.23"
"IA003"	"0.10522055847834884662"	"2.68"
"IA003"	"0.12140833670578713072"	"3.30"
"IA003"	"0.13759611493322541481"	"3.13"
"IA003"	"0.16997167138810198300"	"2.62"
"IA003"	"0.17806556050182112505"	"2.76"
"IA003"	"0.21044111695669769324"	"2.38"
"IA003"	"0.38850667745851881829"	"2.75"
"IA003"	"0.41278834479967624443"	"3.18"
"IA003"	"0.64751112909753136382"	"2.87"
"IA003"	"0.68393363010926750304"	"3.55"
"IA003"	"2.74787535410764870457"	"3.24"
"IA003"	"19.35653581545932817013"	"3.05"
"IA003"	"21.72804532577903668948"	"1.57"
"IA003"	"61.04815864022662878084"	"2.79"
"IA003"	"61.34358559287737778195"	"3.35"
"IA003"	"67.40186159449615535014"	"2.16"
"IA003"	"100.39660056657223779040"	"2.85"
"IA003"	"134.84014569000404692909"	"1.84"
"IA003"	"164.68636179684338335472"	"1.96"
"IA003"	"189.46175637393767711351"	"2.40"
"IA003"	"200.37636584378794011451"	"2.11"
"IA003"	"303.39133953864832079643"	"2.55"
"IA003"	"330.62727640631323373532"	"3.50"
"IA003"	"375.25293403480372292813"	"2.61"
"IA003"	"379.74504249291784673313"	"4.06"
"IA003"	"588.84257385673816292523"	"3.68"
"IA003"	"811.94253338729259472630"	"1.90"
"IA003"	"844.16430594900849830668"	"3.74"
"IA003"	"855.24079320113314475760"	"2.34"
"IA003"	"891.95872116552003136877"	"2.91"
"IA003"	"1146.12302711452853130933"	"2.73"
"IA003"	"1287.30473492513152600290"	"3.29"
"IA003"	"1411.05220558478348898078"	"3.86"
"IA003"	"1440.55847834884662057688"	"3.17"
"IA003"	"1781.68352893565358172471"	"3.23"
"IA003"	"1880.86604613516794817876"	"3.62"
"IA003"	"2231.64305949008498668016"	"2.46"
"IA003"	"2579.32820720356131166480"	"2.97"
"IA003"	"4169.54674220963172750552"	"3.80"
"IA003"	"5550.01214083367057939192"	"3.41"
"IA003"	"32338.07770133549170603802"	""
"IA005"	"0.00404694455685957102"	"3.71"
"IA005"	"0.02023472278429785512"	"4.00"
"IA005"	"0.02023472278429785512"	"4.63"
"IA005"	"0.05665722379603399434"	"4.48"
"IA005"	"0.06070416835289356536"	"4.15"
"IA005"	"0.06070416835289356536"	"4.41"
"IA005"	"0.08903278025091056253"	"3.81"
"IA005"	"0.24281667341157426143"	"3.29"
"IA005"	"0.25900445163901254553"	"4.11"
"IA005"	"0.45325779036827195468"	"3.00"
